_id,Anno,Quartiere,NIL,Uomini,Donne,Totale,Minori,Stranieri,Famiglie,Famiglie unipersonali,80 e più soli,Nati,Nati fuori dal matrimonio,Nati con almeno un genitore straniero,Morti,Emigrati,Immigrati,80 e più,65 e più,Prima cittadinanza,residenti prima cittadinanza,Seconda cittadinanza,residenti seconda cittadinanza,Terza cittadinanza,residenti terza cittadinanza,Scuola dell'infanzia (numero),Scuola primaria (numero),Scuola secondaria di primo grado (numero),Area (metri quadrati),fermate linee superficie,fermate metro,piste ciclabili (m)
30,2011,Giardini Porta Venezia,3,24,29,53,14,9,9568,4186,964,0,0,0,0,5,10,1,5,Filippine,5,Brasile,1,Sri Lanka (ex Ceylon),1,1,0,0,"249646,83",3,0,0
31,2011,Gratosoglio - Ticinello,41,8961,9906,18867,3041,2288,2167,953,78,87,42,28,213,396,388,1332,5605,Egitto,372,Filippine,288,Marocco,239,3,4,2,"3312818,32",37,0,2153
32,2011,Greco,13,7128,7621,14749,2250,3269,764,480,17,147,54,61,128,415,578,1206,3417,Filippine,667,"Cinese, Repubblica Popolare",459,Egitto,363,2,2,2,"1768669,43",35,0,3460
33,2011,Guastalla,4,6962,8195,15157,2270,1995,4433,2012,187,121,28,24,123,322,537,1130,3596,Filippine,405,Sri Lanka (ex Ceylon),323,Perù,121,6,7,9,"1548020,74",52,2,0
34,2011,Isola,11,10649,11509,22158,3103,4005,527,235,19,190,79,59,175,552,968,1474,4671,Egitto,564,Filippine,560,"Cinese, Repubblica Popolare",553,3,2,2,"1322966,34",53,1,285
35,2011,Lambrate,23,4986,5213,10199,1710,1987,17736,8070,1455,101,30,43,127,242,436,655,1966,Filippine,395,Egitto,315,Perù,158,4,4,2,"3096861,87",39,0,1595
36,2011,Lodi - Corvetto,35,17029,18360,35389,4925,7963,5271,2486,226,280,93,140,472,858,1861,2969,8971,Egitto,1321,Filippine,1302,Perù,703,9,7,4,"3639092,52",54,4,1680
37,2011,Lorenteggio,53,6108,7102,13210,2013,1688,3569,1575,195,87,25,22,189,230,335,1397,3880,Egitto,364,Filippine,187,Ecuador,139,5,4,3,"2635327,1",44,0,2100
38,2011,Loreto,20,21737,20888,42625,5946,13816,6483,2495,374,405,152,209,328,1149,2525,2342,7726,Egitto,2588,Filippine,2556,"Cinese, Repubblica Popolare",1280,8,5,3,"1747565,53",56,2,640
39,2011,Maciachini - Maggiolina,12,12224,13677,25901,3668,4901,178,88,6,233,86,87,283,518,985,2059,6158,Filippine,953,"Cinese, Repubblica Popolare",696,Egitto,487,9,3,2,"1674980,95",51,1,458
40,2011,Magenta - S. Vittore,7,8127,9554,17681,3084,2191,308,92,15,144,49,32,164,377,624,1220,3839,Filippine,374,Francia,298,Sri Lanka (ex Ceylon),280,7,6,4,"1390146,88",58,4,1840
41,2011,Maggiore - Musocco,72,2363,2537,4900,749,704,8646,3179,531,59,15,19,49,462,162,293,1237,Perù,101,Ecuador,86,Egitto,78,2,2,1,"3030188,71",47,0,0
42,2011,Mecenate,30,8741,10242,18983,2743,2540,15397,7487,1033,130,50,35,282,372,524,2099,5906,Perù,365,Filippine,287,Egitto,273,4,4,2,"3821389,97",86,0,1940
43,2011,Muggiano,54,1446,1470,2916,724,170,6148,3075,514,49,14,8,12,56,96,54,300,Egitto,28,Ecuador,26,Romania,18,1,1,0,"444218,42",7,0,1040
44,2011,Navigli,44,7902,8935,16837,2328,2378,8502,4088,525,188,68,48,149,424,787,1058,3425,Filippine,304,Egitto,264,Perù,203,4,1,0,"1483927,87",58,2,8020
45,2011,Niguarda - Cà Granda,14,17117,19283,36400,5156,4313,7109,3639,390,289,109,84,398,819,948,3050,10195,Egitto,592,Perù,436,Filippine,347,10,6,4,"4251281,95",115,0,859
46,2011,Ortomercato,29,2008,2008,4016,554,1314,7949,3050,569,30,11,20,50,99,225,325,954,Egitto,326,Filippine,207,Romania,126,1,1,0,"1402519,65",15,0,1400
47,2011,Padova,19,17342,17969,35311,4891,10683,235,101,5,335,132,191,324,913,1822,2583,8117,Filippine,2323,Egitto,1786,Perù,1009,5,4,3,"2061945,5",49,2,650
48,2011,Pagano,68,7912,9203,17115,3155,1836,7323,3167,440,119,38,26,157,322,559,1298,3934,Filippine,331,Francia,173,Sri Lanka (ex Ceylon),164,2,2,2,"1289734,29",53,1,1887
49,2011,Parco Agricolo Sud,87,156,138,294,71,27,16013,7663,1188,4,4,2,1,32,20,8,35,Paesi Bassi,9,Croazia,5,"Serbia, Repubblica di",3,0,0,0,"5844580,12",1,0,2750
50,2011,Parco Bosco in Città,88,384,255,639,145,347,7293,3036,551,11,4,4,2,208,100,15,58,"Serbia, Repubblica di",84,"Macedonia, Repubblica di",64,Eritrea,34,0,0,0,"7837668,61",22,0,100
51,2011,Parco dei Navigli,86,157,136,293,58,44,13469,6136,1080,2,1,1,0,14,23,11,29,Romania,12,Bulgaria,11,Marocco,4,0,0,0,"3617836,27",2,0,0
52,2011,Parco delle Abbazie,85,246,199,445,120,210,22068,9998,2100,10,6,6,1,12,20,6,35,Romania,77,"Serbia, Repubblica di",56,Bosnia-Erzegovina,38,0,0,0,13722000,22,0,1940
53,2011,Parco Forlanini - Ortica,24,504,433,937,139,268,6170,2394,623,15,3,6,4,50,51,38,127,Egitto,44,Romania,42,Marocco,33,0,0,0,"2925814,52",16,1,3800
54,2011,Parco Lambro - Cimiano,18,9051,10676,19727,2635,2778,1273,489,31,149,54,49,275,451,666,2071,5808,Filippine,581,Perù,379,Egitto,297,7,4,3,"4971969,5",61,3,1940
55,2011,Parco Monlué - Ponte Lambro,31,2502,2364,4866,983,1690,14845,6637,952,60,22,37,30,152,255,137,679,Egitto,291,Ecuador,199,Perù,171,1,1,0,"2639289,21",21,0,3430
56,2011,Parco Nord,84,75,67,142,23,41,11892,5415,764,2,1,1,2,0,7,2,14,"Cinese, Repubblica Popolare",6,Sri Lanka (ex Ceylon),6,Albania,4,1,1,0,"1533639,39",12,0,1200
57,2011,Parco Sempione,8,3,0,3,2,0,13372,6670,1115,0,0,0,0,0,0,0,0,"",0,"",0,"",0,0,0,0,"470434,33",8,0,1350
58,2011,Porta Romana,27,7808,8811,16619,2331,1967,10356,4761,797,163,50,27,141,406,700,1059,3484,Filippine,386,Sri Lanka (ex Ceylon),138,Egitto,120,1,2,1,"1002793,53",36,1,420
59,2011,Portello,67,3570,4118,7688,1054,739,616,259,57,69,25,12,75,143,223,777,2168,Filippine,122,Perù,105,Ucraina,49,3,3,0,"909636,6",22,0,0
60,2011,QT 8,66,1841,2249,4090,599,406,5783,1963,333,28,8,5,42,60,98,479,1124,Filippine,62,Sri Lanka (ex Ceylon),44,Perù,37,3,2,1,"1024437,42",18,1,917
61,2011,Quarto Cagnino,61,4644,4907,9551,1408,822,4601,1889,223,66,34,16,80,158,236,517,2443,Egitto,155,Perù,95,"Cinese, Repubblica Popolare",80,3,1,1,"986391,48",29,0,630
62,2011,Quarto Oggiaro,76,15343,16582,31925,5293,6419,2398,993,112,244,106,116,363,688,790,2385,7316,"Cinese, Repubblica Popolare",1394,Egitto,898,Filippine,559,7,5,3,"2778263,75",47,2,840
63,2011,Quinto Romano,62,2432,2536,4968,701,422,882,415,50,34,15,10,34,100,106,220,1086,Egitto,62,Filippine,49,Perù,46,1,1,0,"1645859,77",19,0,1680
64,2011,Quintosole,39,504,172,676,73,117,2007,775,94,8,2,4,7,69,79,9,78,Albania,28,Egitto,22,Romania,17,0,0,0,"1057528,77",4,0,0
65,2011,Ripamonti,38,6534,6995,13529,2043,1499,16731,7351,1240,125,41,27,120,258,430,779,3416,Filippine,178,Sri Lanka (ex Ceylon),161,Egitto,150,4,2,1,"1853233,5",34,0,930
66,2011,Rogoredo,33,4543,4410,8953,1690,1414,1986,839,232,111,41,29,56,187,432,352,1277,Egitto,200,Perù,180,Romania,123,2,1,1,"1200161,64",8,0,0
67,2011,Ronchetto delle Rane,40,395,373,768,199,116,3895,1726,407,6,0,3,4,12,9,24,84,Egitto,42,Filippine,17,Perù,14,0,0,0,"188870,6",1,0,0
68,2011,Ronchetto sul Naviglio,48,6981,7551,14532,1948,1693,8150,3488,626,111,45,48,138,296,385,911,4040,Egitto,334,Perù,219,Filippine,189,4,4,3,"2406775,2",39,0,4430
69,2011,S. Cristoforo,45,6248,6785,13033,1926,2250,14401,6622,970,121,37,39,102,339,491,764,2911,Egitto,483,Filippine,287,Perù,195,5,1,1,"1596174,14",37,0,4200
70,2011,S. Siro,60,6245,6771,13016,2452,2463,8483,3684,715,101,38,26,96,304,434,836,2849,Francia,613,Filippine,340,Perù,190,7,9,4,"3435307,37",65,0,0
71,2011,Sacco,74,145,128,273,49,53,19436,8822,1465,4,2,2,2,3,6,7,47,"Cinese, Repubblica Popolare",22,Filippine,8,Romania,5,0,0,0,"708465,8",4,0,2204
72,2011,Sarpi,69,13509,15685,29194,4454,4936,2699,1296,171,299,125,92,294,637,1188,2024,6162,"Cinese, Repubblica Popolare",1706,Filippine,603,Sri Lanka (ex Ceylon),247,3,4,3,"1811914,53",70,0,0
73,2011,Scalo Romana,36,5427,5130,10557,1471,3162,35,12,1,92,33,54,67,480,681,437,1878,Egitto,674,Filippine,566,Sri Lanka (ex Ceylon),263,0,1,0,"1736727,98",26,0,2000
74,2011,Selinunte,57,12365,13438,25803,3875,7995,118,37,1,220,79,134,303,568,1144,2088,6090,Egitto,2411,Filippine,1121,Marocco,661,2,1,1,"984925,54",47,0,0
75,2011,Stadera,42,14135,14958,29093,4422,5040,30,15,1,250,89,91,278,585,1143,2020,6705,Filippine,877,Egitto,782,Perù,378,9,5,3,"3232237,35",47,1,2600
76,2011,Stephenson,75,31,26,57,5,14,15656,6878,1135,0,0,0,1,1,2,2,12,"Cinese, Repubblica Popolare",9,Brasile,4,Perù,1,0,0,0,"560097,89",0,0,0
77,2011,Tibaldi,43,5529,6097,11626,1441,1854,6864,3724,426,99,48,35,115,309,478,928,2910,Egitto,347,Filippine,271,Perù,167,2,1,1,"786214,31",22,0,0
78,2011,Ticinese,6,9351,10669,20020,2677,2463,1866,864,80,144,51,36,189,530,872,1236,4249,Filippine,363,Egitto,290,Sri Lanka (ex Ceylon),170,8,3,2,"1255064,75",37,0,184
79,2011,Tortona,50,6851,8268,15119,2300,1354,10452,4940,536,117,41,23,134,287,439,1142,3693,Filippine,208,Perù,101,Sri Lanka (ex Ceylon),101,4,2,0,"996786,39",23,1,730
80,2011,Tre Torri,59,594,731,1325,238,158,11146,4692,588,7,2,3,10,24,48,103,312,Francia,32,Filippine,18,Perù,10,0,0,0,"513316,34",14,0,780
81,2011,Trenno,64,2157,2102,4259,568,261,3345,1222,192,27,13,4,37,188,133,203,995,Eritrea,30,Somalia,24,Filippine,21,2,0,0,"489710,56",13,0,225
82,2011,Triulzo Superiore,32,839,561,1400,227,934,4411,1892,356,14,3,13,6,50,161,30,113,Egitto,261,Sri Lanka (ex Ceylon),132,Perù,112,0,0,0,"1395022,03",14,1,0
83,2011,Umbria - Molise,28,10580,11912,22492,3112,4327,5839,2322,287,194,62,80,247,497,969,1807,5413,Filippine,772,Egitto,701,Perù,339,3,1,1,"1192396,73",43,1,2910
84,2011,Viale Monza,16,13301,14016,27317,4043,5851,61,29,2,279,100,122,212,660,1160,1569,6025,Filippine,1334,Perù,654,Egitto,547,9,6,2,"3005623,49",64,4,0
85,2011,Vigentina,5,6400,7323,13723,2184,1643,195,100,3,93,22,11,131,324,521,1093,3341,Filippine,197,Sri Lanka (ex Ceylon),175,Egitto,155,4,3,2,"1135239,32",39,0,0
86,2011,Villapizzone,71,19111,20081,39192,6076,11134,130,66,9,407,170,199,427,898,1716,2923,8434,"Cinese, Repubblica Popolare",2157,Egitto,1661,Filippine,1635,11,8,3,"3427070,6",84,0,902
87,2011,Washington,51,11845,14696,26541,4309,2859,125,56,6,240,69,51,292,502,876,2173,6508,Filippine,552,Francia,223,Perù,212,4,3,3,"1306450,76",59,0,2440
88,2011,XXII Marzo,26,14292,16949,31241,4699,3169,271,144,9,250,82,54,302,662,1096,2351,7519,Filippine,557,Perù,258,Sri Lanka (ex Ceylon),226,5,3,3,"1637499,71",68,0,1140
89,2011,N.D.,,0,0,0,0,0,0,0,0,58,30,40,0,0,0,0,0,"",0,"",0,"",0,0,0,0,0,0,0,0
90,2012,Adriano,17,7773,7534,15307,2923,3083,6937,2772,240,166,78,56,93,358,735,513,2252,Filippine,506,"Cinese, Repubblica Popolare",385,Egitto,359,4,1,0,"2431560,11",34,0,1360
91,2012,Affori,80,12101,11963,24064,3947,6974,11575,4887,600,261,101,138,177,599,924,1273,4698,"Cinese, Repubblica Popolare",1528,Egitto,1130,Filippine,994,5,3,2,"2070893,65",21,2,1550
92,2012,Baggio,55,14205,15643,29848,4541,5068,14941,6671,978,237,116,88,357,786,848,2090,7789,Filippine,960,Perù,735,Egitto,571,7,3,2,"3478599,96",55,0,0
93,2012,Bande Nere,52,19932,24016,43948,6052,6552,22278,10107,2145,321,104,84,682,1156,1325,4534,12705,Filippine,1387,Egitto,578,Perù,572,15,7,7,"2663880,93",73,3,0
94,2012,Barona,46,8013,9164,17177,2330,2037,7943,3054,606,88,40,35,265,424,260,1374,5219,Egitto,508,Marocco,233,Filippine,195,3,3,1,"2006324,59",59,0,1240
95,2012,Bicocca,15,3714,3643,7357,1316,1222,3413,1430,128,82,37,15,42,345,367,285,1161,Egitto,177,Filippine,157,Ecuador,102,0,0,0,"1534521,13",39,3,3070
96,2012,Bovisa,77,6695,6312,13007,1917,4500,7043,3842,435,141,56,82,95,370,629,763,2345,Egitto,1091,"Cinese, Repubblica Popolare",748,Filippine,506,4,2,1,"1913132,63",27,1,3470
97,2012,Bovisasca,81,3538,3885,7423,1120,971,3377,1222,216,42,16,11,91,180,177,562,1913,Perù,123,Egitto,114,"Cinese, Repubblica Popolare",93,3,1,1,"1576826,44",23,0,0
98,2012,Brera,2,8292,9938,18230,2876,2666,9064,4046,609,160,51,33,151,638,720,1233,4142,Filippine,446,Sri Lanka (ex Ceylon),252,Francia,142,6,6,5,"1637395,23",63,4,1354
99,2012,Bruzzano,83,6137,6312,12449,1961,2217,5912,2315,300,105,49,35,125,308,308,673,2832,Egitto,335,Perù,248,Romania,199,3,2,1,"1667691,29",21,1,0
100,2012,Buenos Aires - Venezia,21,29122,33214,62336,9175,8583,30800,13646,2089,506,199,104,508,1800,2188,4350,14034,Filippine,1435,Sri Lanka (ex Ceylon),576,Egitto,561,10,5,4,"2877542,27",119,5,1220
101,2012,Cantalupa,47,242,229,471,71,74,236,107,5,2,1,2,5,33,20,6,76,Egitto,13,"Cinese, Repubblica Popolare",10,Bulgaria,8,0,0,0,"926716,81",2,0,1460
102,2012,Cascina Triulza - Expo,73,391,76,467,19,45,26,10,0,1,1,1,2,72,112,0,17,"Cinese, Repubblica Popolare",10,Marocco,7,Romania,7,0,0,0,"1729126,9",1,0,2204
103,2012,Centrale,10,9042,8874,17916,2536,4470,8667,3840,500,146,50,70,149,608,945,1119,3636,Filippine,642,Bangladesh,607,"Cinese, Repubblica Popolare",537,3,3,3,"1556077,52",65,5,878
104,2012,Chiaravalle,34,598,557,1155,155,167,537,236,24,7,2,2,9,27,39,51,220,Bangladesh,28,Sri Lanka (ex Ceylon),19,Filippine,17,1,0,0,"311640,12",4,0,0
105,2012,Città Studi,22,17049,20016,37065,4931,5859,18663,8534,1602,304,101,86,447,1067,1349,3260,9515,Filippine,868,Perù,655,Egitto,439,7,9,6,"2207487,44",88,2,564
106,2012,Comasina,82,4727,4868,9595,1704,3097,4513,1939,352,85,38,51,90,292,366,703,1970,"Cinese, Repubblica Popolare",907,Egitto,416,Perù,304,3,2,2,"926734,56",24,1,0
107,2012,Corsica,25,8687,10416,19103,2567,2952,9468,4177,759,160,52,37,212,514,641,1650,4816,Filippine,663,Perù,261,Ecuador,217,6,3,2,"1081329,7",35,2,1930
108,2012,De Angeli - Monte Rosa,58,9396,11573,20969,3200,2774,10479,4830,830,157,56,33,208,590,714,1788,5277,Filippine,427,Francia,318,Perù,190,3,2,3,"1323078,54",249,2,1550
109,2012,Dergano,79,11589,10493,22082,3533,7509,10812,5102,553,211,86,106,169,559,1022,1151,3864,Egitto,1696,"Cinese, Repubblica Popolare",1443,Filippine,846,3,3,3,"1358615,04",29,3,325
110,2012,Duomo,1,8155,9063,17218,2727,2557,8454,3871,533,155,51,37,142,691,795,1075,3758,Filippine,483,Sri Lanka (ex Ceylon),292,Perù,148,4,4,3,"2341704,07",106,8,0
111,2012,Ex OM - Morivione,37,3693,4149,7842,1333,1311,3639,1568,193,87,29,18,131,232,294,553,1623,Filippine,235,Egitto,177,Sri Lanka (ex Ceylon),156,2,1,1,"817976,68",10,0,510
112,2012,Farini,78,2097,1876,3973,566,1424,1919,881,83,39,16,25,27,152,227,158,614,Egitto,376,"Cinese, Repubblica Popolare",245,Filippine,176,0,0,0,"1010230,89",17,0,325
113,2012,Figino,63,853,892,1745,273,282,886,413,46,17,5,6,20,60,36,100,347,Romania,64,Sri Lanka (ex Ceylon),44,Egitto,33,2,2,1,"1424713,85",11,0,0
114,2012,Forze Armate,56,11334,12661,23995,3511,3966,12075,5515,798,177,82,69,260,666,679,1642,6096,Filippine,723,Egitto,552,Perù,431,7,5,2,"3206902,39",66,2,0
115,2012,Gallaratese,65,15447,17543,32990,4412,2756,16761,7398,1351,203,83,68,376,850,671,3075,11591,Perù,321,Romania,296,Filippine,293,6,6,3,"3894538,21",87,5,2570
116,2012,Garibaldi Repubblica,9,2506,2835,5341,709,801,2641,1205,184,38,19,9,45,207,228,364,1131,Perù,106,"Cinese, Repubblica Popolare",76,Sri Lanka (ex Ceylon),56,1,0,0,"785668,25",27,2,1290
117,2012,Ghisolfa,70,8121,9235,17356,2672,2973,8576,3731,717,180,67,59,189,485,575,1449,3961,"Cinese, Repubblica Popolare",563,Filippine,509,Perù,274,0,0,0,"1051452,21",32,0,203
118,2012,Giambellino,49,15206,16807,32013,4946,7908,16301,7786,1218,310,121,155,293,932,1205,2341,7298,Egitto,1857,Filippine,1262,Sri Lanka (ex Ceylon),630,2,2,2,"1965274,21",57,4,1890
119,2012,Giardini Porta Venezia,3,27,30,57,15,12,27,8,0,1,1,1,0,1,1,1,5,Filippine,7,Sri Lanka (ex Ceylon),2,Brasile,1,1,0,0,"249646,83",3,0,0
